"index","Requirement","Format","Terms","Description"
"sample_name","M","{text}",,
"taxon_id","M","{integer}",,
"scientific_name","M","{text}",,
"host_subject_id","M","{text}",,
"description","M","{text}",,
"physical_specimen_location","M","{text}",,
"physical_specimen_remaining","M","{boolean}",,
"collection_timestamp","M","yyyy-mm-dd hh:mm",,
"latitude","M","{decimal degrees}",,
"longitude","M","{decimal degrees}",,
"investigation_type","M","{term}","metagenome",
"project_name","M","{text}",,
"experimental_factor","X","{term, text}",,
"geo_loc_name","M","GAZ:{term}",,
"env_biome","M","ENVO:{term}",,
"env_feature","M","ENVO:{term}",,
"env_material","M","ENVO:{term}",,
"env_package","M","{term}","microbial mat/biofilm",
"alt","C","{float} m",,"the altitude of the sample is the vertical distance between Earth's surface above sea level and the sampled position in the air"
"depth","M","{float} m",,"depth is defined as the vertical distance below local surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectivly. Depth can be reported as an interval for subsurface samples"
"elev","M","{float} {unit}",,"the elevation of the sampling site as measured by the vertical distance from mean sea level"
"alkalinity","X","{float} {unit}",,"alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate"
"alkyl_diethers","X","{float} {unit}",,"concentration of alkyl diethers "
"aminopept_act","X","{float} {unit}",,"measurement of aminopeptidase activity"
"ammonium","X","{float} {unit}",,"concentration of ammonium"
"bacteria_carb_prod","X","{float} {unit}",,"measurement of bacterial carbon production"
"biomass","X","{text};{float} {unit}",,"amount of biomass; should include the name for the part of biomass measured, e.g. microbial, total. can include multiple measurements"
"bishomohopanol","X","{float} {unit}",,"concentration of bishomohopanol "
"bromide","X","{float} {unit}",,"concentration of bromide "
"calcium","X","{float} {unit}",,"concentration of calcium"
"carb_nitro_ratio","X","{float} {unit}",,"ratio of amount or concentrations of carbon to nitrogen"
"chem_administration","X","{term}; {timestamp}",,"list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v 111), http://purl.bioontology.org/ontology/CHEBI"
"chloride","X","{float} {unit}",,"concentration of chloride "
"chlorophyll","X","{float} {unit}",,"concentration of chlorophyll"
"diether_lipids","X","{text};{float} {unit}",,"concentration of diether lipids; can include multiple types of diether lipids"
"diss_carb_dioxide","X","{float} {unit}",,"concentration of dissolved carbon dioxide"
"diss_hydrogen","X","{float} {unit}",,"concentration of dissolved hydrogen"
"diss_inorg_carb","X","{float} {unit}",,"dissolved inorganic carbon concentration"
"diss_org_carb","X","{float} {unit}",,"concentration of dissolved organic carbon"
"diss_org_nitro","X","{float} {unit}",,"dissolved organic nitrogen concentration measured as; total dissolved nitrogen - NH4 - NO3 - NO2"
"diss_oxygen","X","{float} {unit}",,"concentration of dissolved oxygen"
"glucosidase_act","X","{float} {unit}",,"measurement of glucosidase activity"
"magnesium","X","{float} {unit}",,"concentration of magnesium"
"mean_frict_vel","X","{float} {unit}",,"measurement of mean friction velocity"
"mean_peak_frict_vel","X","{float} {unit}",,"measurement of mean peak friction velocity"
"methane","X","{float} {unit}",,"methane (gas) amount or concentration at the time of sampling"
"misc_param","X","{text};{float} {unit}",,"any other measurement performed or parameter collected, that is not listed here"
"n_alkanes","X","{text};{float} {unit}",,"concentration of n-alkanes; can include multiple n-alkanes"
"nitrate","X","{float} {unit}",,"concentration of nitrate"
"nitrite","X","{float} {unit}",,"concentration of nitrite"
"nitro","X","{float} {unit}",,"concentration of nitrogen (total)"
"org_carb","X","{float} {unit}",,"concentration of organic carbon"
"org_matter","X","{float} {unit}",,"concentration of organic matter "
"org_nitro","X","{float} {unit}",,"concentration of organic nitrogen"
"organism_count","X","{text};{float} {unit}",,"total count of any organism per gram or volume of sample, should include name of organism followed by count; can include multiple organism counts"
"oxy_stat_samp","X","[aerobic|anaerobic]",,"oxygenation status of sample"
"part_org_carb","X","{float} {unit}",,"concentration of particulate organic carbon"
"perturbation","X","{text};{interval}",,"type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types"
"petroleum_hydrocarb","X","{float} {unit}",,"concentration of petroleum hydrocarbon"
"ph","X","{float}",,"pH measurement"
"phaeopigments","X","{text};{float} {unit}",,"concentration of phaeopigments; can include multiple phaeopigments"
"phosphate","X","{float} {unit}",,"concentration of phosphate"
"phosplipid_fatt_acid","X","{text};{float} {unit}",,"concentration of phospholipid fatty acids; can include multiple values"
"potassium","X","{float} {unit}",,"concentration of potassium "
"pressure","X","{float} {unit}",,"pressure to which the sample is subject, in atmospheres"
"redox_potential","X","{float} {unit}",,"redox potential, measured relative to a hydrogen cell, indicating oxidation or reduction potential"
"salinity","X","{float} {unit}",,"salinity measurement"
"samp_store_dur","X","{interval}",,"duration for which sample was stored"
"samp_store_loc","X","{text}",,"location at which sample was stored, usually name of a specific freezer/room"
"samp_store_temp","X","{float} {unit}",,"temperature at which sample was stored, e.g. -80 degree Celsius"
"samp_vol_we_dna_ext","X","{float} {unit}",,"volume (mL) or weight (g) of sample processed for DNA extraction"
"silicate","X","{float} {unit}",,"concentration of silicate"
"sodium","X","{float} {unit}",,"sodium concentration"
"sulfate","X","{float} {unit}",,"concentration of sulfate"
"sulfide","X","{float} {unit}",,"concentration of sulfide"
"temp","X","{float} {unit}",,"temperature of the sample at time of sampling"
"tot_carb","X","{float} {unit}",,"total carbon content"
"tot_nitro","X","{float} {unit}",,"total nitrogen content of the sample"
"tot_org_carb","X","{float} {unit}",,"Definition for soil: total organic carbon content of the soil, definition otherwise: total organic carbon content"
"turbidity","X","{float} {unit}",,"turbidity measurement"
"water_content","X","{float} {unit}",,"water content measurement"
